ridge_rev,elastic_rev,rf_rev,lgbm_rev,baseline_rev,Date,Actual_Revenue,Actual_COGS,Meta_Revenue,Meta_COGS
0.0,0.0,0.0,0.0,5254651.42566889,2012-07-26,5851965.06,4579171.74,4514957.818362901,-1422703.9364551418
0.0,0.0,0.0,0.0,5039259.235583159,2012-07-27,5156699.45,3989402.2,4289994.979205979,-1576499.4671365474
0.0,0.0,0.0,0.0,5642950.7320351675,2012-07-28,4326956.84,3403662.59,4920510.658361665,-1161049.8438835237
0.0,0.0,0.0,0.0,6290243.571129999,2012-07-29,4804199.65,3819645.91,5596565.0445061205,-715402.9075331185
0.0,0.0,0.0,0.0,6634543.373328053,2012-07-30,6586130.95,5195109.56,5956163.324243248,-128190.21303103492
0.0,0.0,0.0,0.0,8468458.567774555,2012-07-31,9151622.14,7142891.18,7871565.961411738,1506583.7330533508
0.0,0.0,0.0,0.0,9024317.138689082,2012-08-01,9148357.3,7308514.33,8452123.326248735,1021377.1266631968
0.0,0.0,0.0,0.0,7823622.407199227,2012-08-02,9692427.0,7537501.15,7198077.412842097,382719.9700281322
0.0,0.0,0.0,0.0,6921902.119203937,2012-08-03,9297269.95,7118808.46,6256290.451893891,-118093.06368928496
0.0,0.0,0.0,0.0,5626246.499706679,2012-08-04,6384195.03,5087528.11,4903064.196959987,-982970.5130160768
0.0,0.0,0.0,0.0,3018830.6045629787,2012-08-05,2359224.19,1863413.11,2179791.443194179,-2832820.0071793497
0.0,0.0,0.0,0.0,3329821.0603575627,2012-08-06,3630003.7,2922718.71,2504600.322561667,-2555615.7436522855
0.0,0.0,0.0,0.0,3246087.1513598952,2012-08-07,2240253.44,1781265.84,2417145.8150684973,-2672364.551735644
0.0,0.0,0.0,0.0,3142977.6729714554,2012-08-08,2617553.36,1997006.42,2309454.812005571,-2685312.645221493
0.0,0.0,0.0,0.0,3402287.3916254784,2012-08-09,4478691.52,3621672.71,2580286.593353694,-2568822.8655521553
0.0,0.0,0.0,0.0,3412872.0440587196,2012-08-10,3412496.65,2699279.56,2591341.5599331385,-2581725.9502976662
0.0,0.0,0.0,0.0,3689640.1822363776,2012-08-11,2732604.35,2168668.05,2880407.5011255266,-2293801.1102108154
0.0,0.0,0.0,0.0,3837008.101282102,2012-08-12,3388181.83,2654275.25,3034323.5064179115,-2237167.419980965
0.0,0.0,0.0,0.0,3647343.6036389717,2012-08-13,3928170.01,3189564.96,2836231.5335377087,-2365350.0899713063
0.0,0.0,0.0,0.0,3958113.126436799,2012-08-14,4033912.16,3258198.58,3160809.663061416,-2151083.137511115
0.0,0.0,0.0,0.0,4090476.747881792,2012-08-15,3780293.26,2886923.59,3299054.675888974,-2030878.3053457579
0.0,0.0,0.0,0.0,4070869.650928245,2012-08-16,5249978.18,4222455.97,3278576.3651547767,-2065440.3706974615
0.0,0.0,0.0,0.0,4057263.348019638,2012-08-17,4089284.05,3238908.92,3264365.485310289,-2038300.5830459464
0.0,0.0,0.0,0.0,4332678.581455397,2012-08-18,3450015.71,2808916.94,3552018.4073410947,-1919455.5068897111
0.0,0.0,0.0,0.0,4139303.6517784023,2012-08-19,3904300.93,3006801.4,3350051.1345973974,-2008025.9084681552
0.0,0.0,0.0,0.0,4126491.617674628,2012-08-20,3541027.32,2827038.81,3336669.815775144,-1984222.9842024134
0.0,0.0,0.0,0.0,4161583.689230655,2012-08-21,4147483.23,3364364.64,3373321.1541825375,-2022024.5291932607
0.0,0.0,0.0,0.0,4217682.567655527,2012-08-22,4597682.81,3562468.33,3431912.707381171,-1954006.06616589
0.0,0.0,0.0,0.0,3906831.208292847,2012-08-23,5478869.55,4195738.04,3107249.104999935,-2173022.153654664
0.0,0.0,0.0,0.0,3979447.955444666,2012-08-24,4637850.57,3632210.67,3183092.4751941445,-2020017.1637302637
0.0,0.0,0.0,0.0,4302967.277311041,2012-08-25,3589566.28,2784342.75,3520986.923178605,-1922235.9627618957
0.0,0.0,0.0,0.0,4117130.9372696704,2012-08-26,4280204.53,3476942.48,3326893.206699849,-1980171.9286402059
0.0,0.0,0.0,0.0,4238663.038701846,2012-08-27,3038895.84,2365260.68,3453825.4161546463,-2003687.933150154
0.0,0.0,0.0,0.0,8972390.269064594,2012-08-28,9508676.62,7439851.59,8397889.159194645,1115353.081508183
0.0,0.0,0.0,0.0,9412988.448219748,2012-08-29,9260558.32,7336294.54,8858064.698849369,1618367.4957528012
0.0,0.0,0.0,0.0,9218341.412043104,2012-08-30,10086534.1,7950911.72,8654768.79534261,1379964.7068638504
0.0,0.0,0.0,0.0,9193734.791762734,2012-08-31,9104678.52,7277460.12,8629068.814493142,1410305.470518548
0.0,0.0,0.0,0.0,6993492.646605909,2012-09-01,8560208.92,6738335.17,6331062.00370679,584781.3767964728
0.0,0.0,0.0,0.0,2864795.9586355905,2012-09-02,2587099.44,1946097.28,2018912.484386228,-2509110.687561262
0.0,0.0,0.0,0.0,2421995.645672581,2012-09-03,3865505.01,3063431.08,1556436.9622046473,-3166947.1607249854
0.0,0.0,0.0,0.0,2573589.9286412788,2012-09-04,3645749.44,2876968.79,1714767.1239575986,-3052629.796585122
0.0,0.0,0.0,0.0,2731975.208290916,2012-09-05,2398185.51,1966376.48,1880190.030779168,-2910268.365975826
0.0,0.0,0.0,0.0,2903626.026216213,2012-09-06,2858227.37,2147909.96,2059467.911415013,-2814217.71948662
0.0,0.0,0.0,0.0,2801230.161934393,2012-09-07,3282753.8,2580035.06,1952522.2308980143,-2913083.803091698
0.0,0.0,0.0,0.0,3161765.139995468,2012-09-08,3666204.89,2804001.32,2329077.0737069203,-2629975.476165323
0.0,0.0,0.0,0.0,3220706.4374387176,2012-09-09,4458501.42,3589475.8,2390637.344815861,-2594615.552482695
0.0,0.0,0.0,0.0,3225239.9385110764,2012-09-10,4548962.79,3517300.88,2395372.285633134,-2600386.9071418657
0.0,0.0,0.0,0.0,3465170.7818279853,2012-09-11,4021565.55,3264364.41,2645964.118570082,-2401397.365025896
0.0,0.0,0.0,0.0,3613939.896571952,2012-09-12,3335978.29,2673690.65,2801343.579721129,-2269107.847482387
0.0,0.0,0.0,0.0,3464177.5572384847,2012-09-13,2609609.29,2103806.97,2644926.7614426687,-2379960.8813290624
0.0,0.0,0.0,0.0,3462568.4588841004,2012-09-14,3729228.43,2835412.27,2643246.165065702,-2392752.913732953
0.0,0.0,0.0,0.0,3300203.858585793,2012-09-15,3605125.64,2849539.9,2473667.1220783587,-2554800.615545756
0.0,0.0,0.0,0.0,3420751.53558058,2012-09-16,4452012.44,3561492.95,2599571.165580238,-2419355.5768113662
0.0,0.0,0.0,0.0,3206667.856178689,2012-09-17,4811788.67,3932069.23,2375974.978939298,-2597694.998332103
0.0,0.0,0.0,0.0,3499177.5855923397,2012-09-18,5078878.07,4123200.89,2681481.9668376376,-2401272.916803331
0.0,0.0,0.0,0.0,3392880.3539830945,2012-09-19,3680241.62,3014323.76,2570461.567222317,-2451248.738472362
0.0,0.0,0.0,0.0,3313560.2229977674,2012-09-20,3763143.75,3080273.62,2487616.9577605915,-2503666.5957326093
0.0,0.0,0.0,0.0,3720969.1096206396,2012-09-21,3943768.14,2978697.93,2913128.485341804,-2204570.7491421676
0.0,0.0,0.0,0.0,3383509.095486988,2012-09-22,3872374.03,3011266.74,2560673.9100332684,-2462630.284550659
0.0,0.0,0.0,0.0,3499351.732105009,2012-09-23,4118299.54,3294951.2,2681663.851305703,-2329026.8084920635
0.0,0.0,0.0,0.0,3652849.04152909,2012-09-24,5733263.53,4585762.62,2841981.5978184524,-2281696.7183050807
0.0,0.0,0.0,0.0,4031055.8342334777,2012-09-25,5639897.53,4502395.62,3236993.4775033575,-2007127.7105078553
0.0,0.0,0.0,0.0,4366647.799088428,2012-09-26,4592282.59,3670417.04,3587496.9993904363,-1737442.8154423772
0.0,0.0,0.0,0.0,5682381.387683399,2012-09-27,7556892.66,6017108.13,4961693.359744267,-781893.3852490587
0.0,0.0,0.0,0.0,5739822.756008322,2012-09-28,4892631.14,3884590.92,5021687.054493783,-702291.2947473852
0.0,0.0,0.0,0.0,4889142.481975242,2012-09-29,5304374.46,4170120.63,4133207.998753178,-1405490.2639520755
0.0,0.0,0.0,0.0,4574364.807380198,2012-09-30,4694379.86,3812737.52,3804443.620843608,-1652526.4462990514
0.0,0.0,0.0,0.0,3734390.515807381,2012-10-01,4752532.1,3764447.04,2927146.252838601,-2344050.406997422
0.0,0.0,0.0,0.0,2331039.430532104,2012-10-02,3233135.78,2566510.62,1461439.2355515803,-3383558.9526816886
0.0,0.0,0.0,0.0,2269144.129280774,2012-10-03,3515132.03,2762823.63,1396793.703629415,-3435111.254895444
0.0,0.0,0.0,0.0,2566141.465741096,2012-10-04,2398137.74,1902425.74,1706987.6990828472,-3247916.198835494
0.0,0.0,0.0,0.0,2533077.158973892,2012-10-05,2665953.06,2064899.19,1672454.2263411242,-3292788.575518053
0.0,0.0,0.0,0.0,2676544.4219236295,2012-10-06,2205266.94,1755004.4,1822296.2553691943,-3172520.7012516633
0.0,0.0,0.0,0.0,2622518.1992309242,2012-10-07,3389598.07,2725469.75,1765869.4534455147,-3243842.8159346962
0.0,0.0,0.0,0.0,2712474.5439413944,2012-10-08,4037039.45,3285493.04,1859822.8818320846,-3143423.9038610486
0.0,0.0,0.0,0.0,2620797.9136438845,2012-10-09,4298675.76,3472700.63,1764072.7293875664,-3210461.2105523236
0.0,0.0,0.0,0.0,2819990.5267592743,2012-10-10,3548716.67,2839202.59,1972116.1861521262,-3087248.118576343
0.0,0.0,0.0,0.0,2811093.2523094607,2012-10-11,3421490.39,2765374.16,1962823.5738239274,-3089566.087024074
0.0,0.0,0.0,0.0,3029856.431905437,2012-10-12,2380119.87,1830898.15,2191307.187669529,-2942993.094325559
0.0,0.0,0.0,0.0,3235144.8011813364,2012-10-13,2798011.44,2256579.15,2405717.256947434,-2815953.683046705
0.0,0.0,0.0,0.0,3026524.5260455767,2012-10-14,3055629.78,2516987.32,2187827.233258279,-2972394.3130082926
0.0,0.0,0.0,0.0,2941400.877692648,2012-10-15,3234517.3,2632811.8,2098921.235295919,-3019434.8530827276
0.0,0.0,0.0,0.0,3140597.5932885204,2012-10-16,3549298.21,2763325.25,2306968.976828912,-2889914.8747866787
0.0,0.0,0.0,0.0,2816782.6461906903,2012-10-17,3818048.0,3108682.75,1968765.767921559,-3084430.8684572172
0.0,0.0,0.0,0.0,3175673.5157137937,2012-10-18,2909728.89,2301277.14,2343603.4485416366,-2854817.725508364
0.0,0.0,0.0,0.0,3178860.439842618,2012-10-19,2877379.81,2352068.71,2346931.9791625133,-2840677.3597709476
0.0,0.0,0.0,0.0,3149282.7797579817,2012-10-20,3242557.3,2647331.71,2316040.0773456004,-2864623.317223446
0.0,0.0,0.0,0.0,2893745.2923899433,2012-10-21,2395609.91,1920246.47,2049148.1410759548,-3028811.817737595
0.0,0.0,0.0,0.0,3096318.347654341,2012-10-22,3596158.34,2873316.18,2260722.245182667,-2874422.1230898593
0.0,0.0,0.0,0.0,3000244.0369553207,2012-10-23,3999141.88,3151858.27,2160379.007592235,-2977854.256322655
0.0,0.0,0.0,0.0,3024203.473853456,2012-10-24,3829179.99,3037851.31,2185403.048375981,-2953725.114131661
0.0,0.0,0.0,0.0,3377598.346334008,2012-10-25,3104460.52,2528526.7,2554500.525053667,-2740299.645998862
0.0,0.0,0.0,0.0,3219752.365171637,2012-10-26,2138927.17,1671777.12,2389640.879689257,-2827044.370546618
0.0,0.0,0.0,0.0,3366210.7645092458,2012-10-27,2816872.34,2296869.06,2542606.952044308,-2709658.732313485
0.0,0.0,0.0,0.0,4771083.885080879,2012-10-28,6259883.83,5044146.85,4009903.634125716,-1775140.1218050239
0.0,0.0,0.0,0.0,5434532.980285403,2012-10-29,5424539.1,4294440.71,4702832.156900363,-1346629.1891049072
0.0,0.0,0.0,0.0,5218999.808824153,2012-10-30,6347274.89,5049887.71,4477722.072058755,-1501721.2439716212
0.0,0.0,0.0,0.0,4825072.591925214,2012-10-31,4942677.89,3871571.88,4066291.2532370603,-1765079.3377535385
0.0,0.0,0.0,0.0,4308323.478904079,2012-11-01,5536748.35,4440955.34,3526581.120057271,-2102710.167261452
0.0,0.0,0.0,0.0,2493656.5181718064,2012-11-02,1936831.08,1547786.14,1631281.9848002736,-3263821.45188303
0.0,0.0,0.0,0.0,1763659.3339299152,2012-11-03,2911848.61,2151815.97,868848.4022351345,-3788190.0277072517
0.0,0.0,0.0,0.0,1924743.2186748388,2012-11-04,2658832.75,2131401.7,1037089.8228744857,-3639996.0120954113
0.0,0.0,0.0,0.0,2247529.585674545,2012-11-05,3332448.46,2732792.99,1374218.7481734953,-3432675.88709821
0.0,0.0,0.0,0.0,2230813.921907316,2012-11-06,3439495.01,2809375.18,1356760.3473931719,-3457220.117779793
0.0,0.0,0.0,0.0,2164142.014700818,2012-11-07,1969815.91,1538155.1,1287125.9677473223,-3486235.2242917204
0.0,0.0,0.0,0.0,2303104.3432754464,2012-11-08,2197716.17,1723412.77,1432262.89197639,-3404457.638596804
0.0,0.0,0.0,0.0,2433352.1214583945,2012-11-09,2920310.06,2308918.6,1568298.0470219594,-3331901.8798251646
0.0,0.0,0.0,0.0,2624366.9556560707,2012-11-10,3124993.27,2475389.25,1767800.3567625987,-3193140.1281399103
0.0,0.0,0.0,0.0,2574597.5599417933,2012-11-11,3484874.3,2713727.18,1715819.5279379701,-3226319.2888642643
0.0,0.0,0.0,0.0,2778337.3020287585,2012-11-12,3806978.06,3077336.49,1928612.1589555573,-3097338.1033679456
0.0,0.0,0.0,0.0,2899690.6757721156,2012-11-13,3848498.06,3048755.92,2055357.6992080184,-3010753.9000745374
0.0,0.0,0.0,0.0,2820407.728125784,2012-11-14,3213518.64,2550177.92,1972551.9252746673,-3082586.659358386
0.0,0.0,0.0,0.0,2647678.2288626307,2012-11-15,2996358.37,2282178.26,1792147.433612614,-3187196.842010522
0.0,0.0,0.0,0.0,2536011.4826290905,2012-11-16,2851503.98,2255928.16,1675518.9325415487,-3238210.169590216
0.0,0.0,0.0,0.0,2418738.5644737137,2012-11-17,3258479.4,2499839.57,1553035.157182979,-3321429.9145536306
0.0,0.0,0.0,0.0,2381251.4597921656,2012-11-18,3292697.97,2632996.71,1513882.365721147,-3287818.2511580726
0.0,0.0,0.0,0.0,2328302.941376791,2012-11-19,4654711.93,3714724.53,1458581.154348839,-3258540.5699973786
0.0,0.0,0.0,0.0,2309462.681846152,2012-11-20,3532139.01,2841184.71,1438903.754380071,-3225980.756586504
0.0,0.0,0.0,0.0,2010062.2082668827,2012-11-21,3144567.59,2465022.82,1126199.8417892233,-3391800.5044170744
0.0,0.0,0.0,0.0,1989486.265083735,2012-11-22,2661394.83,2082526.75,1104709.6355056525,-3312127.0625554044
0.0,0.0,0.0,0.0,1819740.6237117865,2012-11-23,3625609.77,2879673.14,927421.5852641494,-3473732.1770309135
0.0,0.0,0.0,0.0,1832496.4290401232,2012-11-24,2283866.51,1759438.38,940744.1768643996,-3441478.118257479
0.0,0.0,0.0,0.0,1981043.7046340536,2012-11-25,2891169.43,2288045.69,1095891.94175474,-3328460.0092161233
0.0,0.0,0.0,0.0,2384969.7029492343,2012-11-26,3626699.25,2942841.67,1517765.8237841204,-3001399.819498224
0.0,0.0,0.0,0.0,3234479.794625086,2012-11-27,4703189.22,3751057.26,2405022.701760022,-2337881.0975792343
0.0,0.0,0.0,0.0,3287407.402748271,2012-11-28,3980270.66,3143037.5,2460302.073720712,-2270886.9098252687
0.0,0.0,0.0,0.0,2883898.5888739517,2012-11-29,3116036.61,2564940.27,2038863.9131361567,-2586433.6076787463
0.0,0.0,0.0,0.0,2726999.976880753,2012-11-30,3184691.98,2466641.44,1874993.7319577136,-2731502.8969799406
0.0,0.0,0.0,0.0,2076527.8920228663,2012-12-01,3064822.76,2435991.34,1195618.834735536,-3239823.596136946
0.0,0.0,0.0,0.0,1321358.6006881532,2012-12-02,1765509.34,1464812.23,406894.6578971809,-3841332.739727239
0.0,0.0,0.0,0.0,1306352.7203939557,2012-12-03,2315389.05,1807129.65,391222.0124141299,-3899359.060832599
0.0,0.0,0.0,0.0,1435761.2159270472,2012-12-04,2382954.42,1864688.02,526380.5924655374,-3794057.321574699
0.0,0.0,0.0,0.0,1476390.1210692816,2012-12-05,2286277.45,1849992.69,568814.7858733691,-3729213.587951213
0.0,0.0,0.0,0.0,1599597.4886969537,2012-12-06,2733678.5,2184618.1,697496.6996212162,-3648957.932621223
0.0,0.0,0.0,0.0,1442564.7253523304,2012-12-07,2065198.04,1633326.72,533486.4062646979,-3749374.4463608237
0.0,0.0,0.0,0.0,1594277.2817022917,2012-12-08,2087384.34,1719369.91,691940.0967102875,-3639052.7864547013
0.0,0.0,0.0,0.0,1719098.7707169482,2012-12-09,2430122.78,1883727.02,822307.8530590914,-3541121.3266534647
0.0,0.0,0.0,0.0,1769993.4487872804,2012-12-10,2542389.69,2015472.58,875463.9645788376,-3500606.041261121
0.0,0.0,0.0,0.0,1864331.6878645266,2012-12-11,3699430.17,3001083.16,973993.9906463327,-3415143.6743049966
0.0,0.0,0.0,0.0,2156881.986152568,2012-12-12,4386420.92,3545221.89,1279543.350039946,-3201528.3178715366
0.0,0.0,0.0,0.0,2036085.5637734488,2012-12-13,2326824.81,1839144.84,1153379.50850238,-3269206.457273559
0.0,0.0,0.0,0.0,2093309.6721705594,2012-12-14,2659317.57,2101555.8,1213146.2896847134,-3234319.4370210664
0.0,0.0,0.0,0.0,2144582.1582541545,2012-12-15,3385542.75,2693057.28,1266696.9965854995,-3195588.2897352716
0.0,0.0,0.0,0.0,2182744.3150908295,2012-12-16,3484853.43,2706611.68,1306554.8351956792,-3162119.0557303624
0.0,0.0,0.0,0.0,2269894.1000201413,2012-12-17,4281691.85,3433745.61,1397576.9982639397,-3104868.077757589
0.0,0.0,0.0,0.0,2273647.3868344557,2012-12-18,4394537.67,3473710.24,1401497.057099789,-3100068.0899320855
0.0,0.0,0.0,0.0,2464857.241878957,2012-12-19,3785472.73,3004383.53,1601203.053164334,-2934149.217909975
0.0,0.0,0.0,0.0,2668800.723185003,2012-12-20,3905985.95,3132486.67,1814208.4762666933,-2782540.397712554
0.0,0.0,0.0,0.0,2773735.835769064,2012-12-21,3966203.09,3174444.37,1923806.233013425,-2691695.2435048777
0.0,0.0,0.0,0.0,2473755.4576627035,2012-12-22,3225123.87,2559516.54,1610496.6486533154,-2930690.0250916984
0.0,0.0,0.0,0.0,2131126.5733447783,2012-12-23,2151580.15,1770780.57,1252643.5316825914,-3191774.960474763
0.0,0.0,0.0,0.0,1893589.0694106163,2012-12-24,3297376.6,2599138.83,1004551.38279823,-3423500.765524704
0.0,0.0,0.0,0.0,2218603.1911295406,2012-12-25,4917024.98,3856446.89,1344007.0499646259,-3185235.070479635
0.0,0.0,0.0,0.0,2311598.7540678675,2012-12-26,3285221.25,2658633.45,1441134.7399671073,-3064160.8642879087
0.0,0.0,0.0,0.0,2937412.375821315,2012-12-27,4994041.71,3924374.73,2094755.5099527636,-2556986.560518761
0.0,0.0,0.0,0.0,4848922.59256247,2012-12-28,8573663.31,6682336.48,4091200.9951135693,-1043109.05179745
0.0,0.0,0.0,0.0,5246984.978677658,2012-12-29,7842913.37,6260959.87,4506950.723580556,-674172.4644122198
0.0,0.0,0.0,0.0,4452353.009734009,2012-12-30,6511908.92,5180121.12,3677010.4005481023,-1342791.4528549667
0.0,0.0,0.0,0.0,4097724.3611151055,2012-12-31,5573749.22,4432224.44,3306624.3266243543,-1639954.4041749034
0.0,0.0,0.0,0.0,3735440.8120016763,2013-01-01,5304546.99,4156070.2,2928243.217467311,-2065991.5890273885
0.0,0.0,0.0,0.0,1837457.3947485497,2013-01-02,1606940.44,1237497.84,945925.576107722,-3608720.8377970075
0.0,0.0,0.0,0.0,1438545.0642123981,2013-01-03,2281680.01,1832133.02,529288.1371346612,-3976453.733046728
0.0,0.0,0.0,0.0,1561429.4892117647,2013-01-04,2376895.46,1940747.07,657632.758752652,-3902987.283472743
0.0,0.0,0.0,0.0,1645690.870961307,2013-01-05,2509462.77,1977027.71,745638.1765076672,-3853283.9352133973
0.0,0.0,0.0,0.0,1762489.6057367742,2013-01-06,2603356.52,2060481.76,867626.6988146615,-3761973.908665794
0.0,0.0,0.0,0.0,1893108.7904533523,2013-01-07,3048100.39,2452517.39,1004049.7633208921,-3660521.1013835818
0.0,0.0,0.0,0.0,1918557.3866354492,2013-01-08,2449700.42,1973182.14,1030629.1320872523,-3655372.253452574
0.0,0.0,0.0,0.0,2053823.9660232982,2013-01-09,2049715.7,1654806.5,1171906.0917115728,-3548112.775798503
0.0,0.0,0.0,0.0,2157854.4640235207,2013-01-10,2794331.46,2122153.07,1280559.0385975474,-3517483.932375739
0.0,0.0,0.0,0.0,2220339.2846945557,2013-01-11,2343077.25,1805692.13,1345820.284405821,-3470295.634435827
0.0,0.0,0.0,0.0,2133945.577597565,2013-01-12,2814596.53,2241879.07,1255587.7944251262,-3516112.8655722886
0.0,0.0,0.0,0.0,2251607.7854965553,2013-01-13,2919719.62,2279740.92,1378478.1570696281,-3426196.595081527
0.0,0.0,0.0,0.0,2213785.361463271,2013-01-14,3077677.28,2477490.97,1338975.146812209,-3460647.6307456167
0.0,0.0,0.0,0.0,2204337.1884363997,2013-01-15,2536405.93,2094291.34,1329107.1575033818,-3457520.8217622293
0.0,0.0,0.0,0.0,2329507.668391563,2013-01-16,1849789.43,1445623.48,1459839.4117143652,-3386248.8563544145
0.0,0.0,0.0,0.0,2385745.2152934754,2013-01-17,2173214.95,1763012.0,1518575.7949288138,-3347021.7308477093
0.0,0.0,0.0,0.0,2221460.334791277,2013-01-18,2099249.56,1615535.57,1346991.1467871135,-3469031.5931988885
0.0,0.0,0.0,0.0,2208221.1385427187,2013-01-19,2477132.79,2033637.15,1333163.6854708702,-3453950.488328552
0.0,0.0,0.0,0.0,2338982.886830094,2013-01-20,2522776.58,2018671.04,1469735.648159686,-3391382.0729134595
0.0,0.0,0.0,0.0,2579241.5053393412,2013-01-21,4100379.42,3250868.59,1720669.8205187097,-3241314.1279154825
0.0,0.0,0.0,0.0,2489726.701219633,2013-01-22,3538734.12,2801650.02,1627177.5519581358,-3265692.43668624
0.0,0.0,0.0,0.0,2647004.9462656113,2013-01-23,2836455.88,2322088.98,1791444.2346501998,-3174559.5111865327
0.0,0.0,0.0,0.0,2651196.359486362,2013-01-24,2522924.71,2102458.71,1795821.8874232396,-3162358.7168270466
0.0,0.0,0.0,0.0,2727762.931357902,2013-01-25,2823082.71,2273250.41,1875790.5872441498,-3117527.2046712018
0.0,0.0,0.0,0.0,2817036.418882158,2013-01-26,2312290.79,1869897.73,1969030.8166457047,-3071496.9306704924
0.0,0.0,0.0,0.0,3262021.415499411,2013-01-27,3818881.29,3023842.24,2433788.095827494,-2782073.813060041
0.0,0.0,0.0,0.0,4193476.8709230023,2013-01-28,5008712.77,4035190.91,3406631.4645535983,-2164698.032462163
0.0,0.0,0.0,0.0,4422350.117539762,2013-01-29,4833870.43,4015854.7,3645674.3720307695,-1989799.6727377493
0.0,0.0,0.0,0.0,4216638.609215806,2013-01-30,4296295.37,3414688.28,3430822.3621162483,-2133527.81843618
0.0,0.0,0.0,0.0,3753385.7568929433,2013-01-31,3378679.46,2731823.14,2946985.5207497426,-2425008.6242683902
0.0,0.0,0.0,0.0,3428085.7181529226,2013-02-01,4073777.92,3289266.58,2607231.2322414885,-2671204.0352082644
0.0,0.0,0.0,0.0,2348805.6284323083,2013-02-02,2351969.75,1915236.16,1479994.8494717646,-3379701.0424025357
0.0,0.0,0.0,0.0,1845349.8418786319,2013-02-03,2743224.75,2293960.05,954168.7130272756,-3705219.2692578463
0.0,0.0,0.0,0.0,2176090.180001552,2013-02-04,3599084.22,2986552.92,1299605.0329710874,-3490076.1847533807
0.0,0.0,0.0,0.0,2390549.3201737762,2013-02-05,3829186.14,3181079.49,1523593.3634536983,-3344479.011888321
0.0,0.0,0.0,0.0,2428674.9606967117,2013-02-06,2313071.08,1919077.04,1563413.0631990884,-3334302.264891738
0.0,0.0,0.0,0.0,2560629.023227593,2013-02-07,2839296.13,2338660.54,1701230.318938129,-3252918.351732192
0.0,0.0,0.0,0.0,2480480.063558549,2013-02-08,2648161.4,2136088.4,1617520.0529556656,-3283512.445405898
0.0,0.0,0.0,0.0,2619747.886587881,2013-02-09,2957587.36,2354253.06,1762976.0458559296,-3200617.7014544797
0.0,0.0,0.0,0.0,2669204.264135901,2013-02-10,3380985.73,2832001.18,1814629.9479922652,-3174494.2103365217
0.0,0.0,0.0,0.0,2895085.851498862,2013-02-11,4189315.44,3426089.62,2050548.266043717,-3027582.800630131
0.0,0.0,0.0,0.0,2949812.7854671404,2013-02-12,3967295.55,3276616.25,2107706.914363125,-2987606.342975992
0.0,0.0,0.0,0.0,3164887.330286802,2013-02-13,3156812.35,2628245.52,2332337.9941332694,-2830288.417535364
